HIP,HD,HR,Bayer,Fl,Cst
14135,18884,911,"alf",92,"Cet"
14143,18883,910," ",93,"Cet"
14915,19926,958,"g",,"Tau"
13954,18604,896,"lam",91,"Cet"
15900,21120,1030,"omi",1,"Tau"
16511,21933,1079,"t",6,"Tau"
16083,21364,1038,"ksi",2,"Tau"
16322,21686,1061,"s",4,"Tau"
12093,16161,754,"nu.",78,"Cet"
12828,17094,813,"mu.",87,"Cet"
11484,15318,718,"ksi02",73,"Cet"
11427,15228,," ",25,"Ari"
11249,14951,702,"ksi",24,"Ari"
12647,16861,797," ",85,"Cet"
12832,17093,812," ",38,"Ari"
12153,16234,763," ",31,"Ari"
12803,17036,809,"omi",37,"Ari"
13327,17769,847,"sig",43,"Ari"
13579,18091,,"rho01",44,"Ari"
13702,18256,869,"rho",46,"Ari"
13654,18191,867," ",45,"Ari"
17771,23793,1174,"e",30,"Tau"
16369,21754,1066,"f",5,"Tau"
20889,28305,1409,"eps",74,"Tau"
19388,26162,1283," ",43,"Tau"
19990,27045,1329,"ome",50,"Tau"
20171,27295,1339," ",53,"Tau"
20087,27176,1331," ",51,"Tau"
20186,27309,1341," ",56,"Tau"
19076,25680,1262,"A02",39,"Tau"
19038,25604,1256,"A01",37,"Tau"
17408,23183,1132," ",14,"Tau"
17309,23016,1126," ",13,"Tau"
14514,19374,938," ",53,"Ari"
14586,19460,940," ",54,"Ari"
14838,19787,951,"del",57,"Ari"
15110,20150,972,"zet",58,"Ari"
15870,21050,1027," ",65,"Ari"
15737,20893,1015," ",63,"Ari"
15627,20756,1005,"tau",61,"Ari"
16181,21467,1048," ",66,"Ari"
17608,23480,1156," ",23,"Tau"
17499,23302,1142," ",17,"Tau"
17573,23408,1149," ",20,"Tau"
17489,23288,1140," ",16,"Tau"
17531,23338,1145,"q",19,"Tau"
18471,24740,1218," ",32,"Tau"
18485,24769,1221," ",33,"Tau"
19009,25555,1252," ",36,"Tau"
17832,23822,," ",26,"Tau"
17847,23850,1178," ",27,"Tau"
17851,23862,1180," ",28,"Tau"
17702,23630,1165,"eta",25,"Tau"
17588,23441,1152," ",22,"Tau"
17579,23432,1151," ",21,"Tau"
16859,22374,," ",9,"Tau"
16664,22091,1086," ",7,"Tau"
17181,22805,1118," ",11,"Tau"
15861,21017,1022," ",64,"Ari"
17527,23324,1144," ",18,"Tau"
11843,15814,741," ",29,"Ari"
10328,13596,648," ",19,"Ari"
12784,17017,808," ",36,"Ari"
11698,15596,731," ",27,"Ari"
13165,17543,836,"pi.",42,"Ari"
13108,17459,828," ",40,"Ari"
12640,16811,793,"mu.",34,"Ari"
11678,15550,729," ",26,"Ari"
10732,14191,669,"the",22,"Ari"
12332,16432,773,"nu.",32,"Ari"
9110,11909,563,"iot",8,"Ari"
8387,10982,522," ",4,"Ari"
8271,10845,515," ",3,"Ari"
10155,13325,631," ",15,"Ari"
8832,11502,546,"gam01",5,"Ari"
8159,10697,508," ",109,"Psc"
7981,10476,493," ",107,"Psc"
8903,11636,553,"bet",6,"Ari"
8544,11154,530," ",1,"Ari"
8993,11763,559," ",7,"Ari"
10306,13555,646,"eta",17,"Ari"
9836,12869,613,"kap",12,"Ari"
12189,16246,765," ",30,"Ari"
12184,16232,764," ",30,"Ari"
9884,12929,617,"alf",13,"Ari"
9153,11973,569,"lam",9,"Ari"
9859,12885,615," ",11,"Ari"
9621,12558,605," ",10,"Ari"
10535,13872,657," ",21,"Ari"
10540,13871,656," ",20,"Ari"
10203,13363,633," ",16,"Ari"
10053,13174,623," ",14,"Ari"
10793,14252,675," ",10,"Tri"
13834,18404,878," ",47,"Ari"
13914,18519,887,"eps",48,"Ari"
14376,19134,927," ",52,"Ari"
14109,18769,905," ",49,"Ari"
14150,18803,," ",51,"Ari"
13209,17573,838,"c",41,"Ari"
15557,20663,1000," ",60,"Ari"
15514,20618,995," ",59,"Ari"
14893,19832,954," ",56,"Ari"
15696,20825,1012," ",62,"Ari"
14677,19548,944," ",55,"Ari"
12489,16628,782," ",33,"Ari"
12719,16908,801," ",35,"Ari"
13061,17361,824," ",39,"Ari"
11486,15257,717," ",12,"Tri"
11548,15335,720," ",13,"Tri"
11432,15176,712," ",11,"Tri"
12086,16058,750," ",15,"Tri"
13775,18296,873," ",21,"Per"
13905,18449,882," ",24,"Per"
13328,17709,843," ",17,"Per"
14354,19058,921,"rho",25,"Per"
13490,17904,855," ",20,"Per"
13254,17584,840," ",16,"Per"
13879,18411,879,"pi.",22,"Per"
20641,27946,1388," ",67,"Tau"
20635,27934,1387,"kap",65,"Tau"
20711,28024,1392,"ups",69,"Tau"
20789,28149,1399," ",72,"Tau"
21881,29763,1497,"tau",94,"Tau"
21961,29859,1499," ",95,"Tau"
20533,27778,1378," ",62,"Tau"
20430,27638,1369,"chi",59,"Tau"
20250,27382,1348,"phi",52,"Tau"
23015,31398,1577,"iot",3,"Aur"
19513,26322,1287,"p",44,"Tau"
19171,25823,1268," ",41,"Tau"
19205,25867,1269,"psi",42,"Tau"
18350,24534,1209,"X",,"Per"
18246,24398,1203,"zet",44,"Per"
20591,27786,1379," ",56,"Per"
20579,27777,1377," ",55,"Per"
20252,27348,1343," ",54,"Per"
24504,33959,1706," ",14,"Aur"
24727,34334,1726," ",16,"Aur"
24879,34578,1740," ",19,"Aur"
24740,34364,1728,"AR",17,"Aur"
24832,34499,1734," ",18,"Aur"
24575,34078,1712,"AE",,"Aur"
25541,35620,1805,"phi",24,"Aur"
25292,35186,1773,"sig",21,"Aur"
24340,33641,1689,"mu.",11,"Aur"
24813,34411,1729,"lam",15,"Aur"
27483,38656,1995,"tau",29,"Aur"
25048,34759,1749,"rho",20,"Aur"
28360,40183,2088,"bet",34,"Aur"
28404,40239,2091,"pi.",35,"Aur"
22678,30834,1551," ",2,"Aur"
22453,30504,1533," ",1,"Aur"
23179,31647,1592," ",4,"Aur"
23261,31761,1599," ",5,"Aur"
23268,31780,1602," ",6,"Aur"
23453,32068,1612,"zet",8,"Aur"
23767,32630,1641,"eta",10,"Aur"
21476,29094,1454,"e",58,"Per"
21928,29722,1494," ",59,"Per"
23416,31964,1605,"eps",7,"Aur"
24608,34029,1708,"alf",13,"Aur"
27196,38104,1971,"omi",27,"Aur"
28358,40035,2077,"del",33,"Aur"
17448,23180,1131,"omi",38,"Per"
17886,23848,1177,"n",42,"Per"
17313,22951,1123,"o",40,"Per"
18614,24912,1228,"ksi",46,"Per"
19302,25975,1277," ",49,"Per"
19335,25998,1278," ",50,"Per"
19811,26673,1306,"f",52,"Per"
18532,24760,1220,"eps",45,"Per"
14817,19656,947,"ome",28,"Per"
14576,19356,936,"bet",26,"Per"
15648,20677,1002,"l",32,"Per"
16499,21770,1069," ",36,"Per"
15338,20315,982," ",30,"Per"
17529,23230,1135,"nu.",41,"Per"
19343,25940,1273,"c",48,"Per"
19812,26630,1303,"mu.",51,"Per"
19167,25642,1261,"lam",47,"Per"
17358,22928,1122,"del",39,"Per"
16826,22192,1087,"psi",37,"Per"
16335,21552,1052,"sig",35,"Per"
18453,24546,1210,"A",43,"Per"
21242,28704,1434,"m",57,"Per"
20354,27396,1350,"d",53,"Per"
23216,31579,1588," ",8,"Cam"
23040,31278,1568," ",7,"Cam"
27949,39283,2029,"ksi",30,"Aur"
23783,32537,1637," ",9,"Aur"
26587,37070,," ",22,"Cam"
26942,37601,1941," ",24,"Cam"
27249,38091,1969," ",26,"Cam"
27283,38129,," ",28,"Cam"
27592,38618,1992," ",29,"Cam"
25973,36066,1828," ",18,"Cam"
27731,38831,2006," ",30,"Cam"
27971,39220,2027," ",31,"Cam"
20070,26961,1324,"b",,"Per"
20234,27192,1333,"b02",,"Per"
21727,29317,1467," ",3,"Cam"
21730,29316,1466," ",2,"Cam"
22854,30958,1555," ",5,"Cam"
21148,28446,1417," ",1,"Cam"
22287,30121,1511," ",4,"Cam"
25197,34787,1751," ",16,"Cam"
24836,34233,1719," ",15,"Cam"
27046,37638,1943," ",23,"Cam"
23734,32343,1622," ",11,"Cam"
23743,32357,1623," ",12,"Cam"
23522,31910,1603,"bet",10,"Cam"
24348,33296,1678," ",14,"Cam"
25769,35583,1802," ",17,"Cam"
26408,36570,1857," ",19,"Cam"
5742,7318,360,"phi",85,"Psc"
6193,7964,383,"ups",90,"Psc"
9383,12211,,"chi",,"Tri"
8796,11443,544,"alf",2,"Tri"
10280,13480,642," ",6,"Tri"
6315,8126,389,"l",91,"Psc"
5586,7106,352,"tau",83,"Psc"
4510,5575,274,"h",68,"Psc"
5544,7034,349,"g",82,"Psc"
5319,6680,327," ",78,"Psc"
5175,6476,," ",76,"Psc"
4889,6118,291,"sig",69,"Psc"
5447,6860,337,"bet",43,"And"
6514,8374,395," ",47,"And"
10220,13372,634," ",5,"Tri"
10559,13869,655," ",7,"Tri"
10670,14055,664,"gam",9,"Tri"
10644,13974,660,"del",8,"Tri"
11784,15656,736," ",14,"Tri"
9570,12471,599,"eps",3,"Tri"
10064,13161,622,"bet",4,"Tri"
9977,13041,620," ",58,"And"
10176,13294,628," ",59,"And"
10180,13295,629," ",59,"And"
12623,16739,788," ",12,"Per"
12768,16901,800," ",14,"Per"
9021,11749,557," ",56,"And"
8814,11428,543," ",55,"And"
9640,12533,603,"gam01",57,"And"
7818,10205,477,"tau",53,"And"
7513,9826,458,"ups",50,"And"
7719,10072,469,"chi",52,"And"
10340,13520,643,"b",60,"And"
10819,14212,670,"c",62,"And"
11220,14770,694," ",64,"And"
10944,14392,682," ",63,"And"
9222,11949,568," ",3,"Per"
8714,11291,536," ",2,"Per"
10366,13530,645," ",6,"Per"
4436,5448,269,"mu.",37,"And"
2912,3369,154,"pi.",29,"And"
3231,3817,175," ",32,"And"
5550,7019,348," ",45,"And"
5493,6920,340," ",44,"And"
4903,6116,290," ",39,"And"
3881,4727,226,"nu.",35,"And"
5317,6658,324," ",41,"And"
1473,1404,68,"sig",25,"And"
1686,1671,82,"rho",27,"And"
1366,1280,63,"the",24,"And"
1086,905,41," ",23,"And"
1501,1438,70," ",26,"And"
63,224801,9080,"CG",,"And"
841,571,27," ",22,"And"
3414,4058,184,"pi.",20,"Cas"
3478,4142,189," ",68,"Cas"
3504,4180,193,"omi",22,"Cas"
1415,1337,65,"AO",,"Cas"
6813,8799,417,"ome",48,"And"
6411,8207,390,"ksi",46,"And"
6999,9057,430,"A",49,"And"
7607,9927,464," ",51,"And"
5434,6811,335,"phi",42,"And"
8068,10516,496,"phi",,"Per"
8704,11241,533," ",1,"Per"
5336,6582,321,"mu.",30,"Cas"
5542,6961,343,"the",33,"Cas"
6242,7927,382,"phi",34,"Cas"
3300,3901,179,"ksi",19,"Cas"
3801,4636,223,"nu.",25,"Cas"
2920,3360,153,"zet",17,"Cas"
2505,2772,123,"lam",14,"Cas"
3179,3712,168,"alf",18,"Cas"
746,432,21,"bet",11,"Cas"
3821,4614,219,"eta",24,"Cas"
4422,5395,265,"ups02",28,"Cas"
4292,5234,253,"ups01",26,"Cas"
4427,5394,264,"gam",27,"Cas"
330,225180,9100," ",9,"Cas"
1960,2011,93," ",12,"Cas"
2599,2905,130,"kap",15,"Cas"
531,144,7," ",10,"Cas"
14668,19476,941,"kap",27,"Per"
14632,19373,937,"iot",,"Per"
12777,16895,799,"the",13,"Per"
13531,17878,854,"tau",18,"Per"
16244,21428,1044," ",34,"Per"
15863,20902,1017,"alf",33,"Per"
15444,20418,989," ",31,"Per"
15404,20365,987," ",29,"Per"
14328,18925,915,"gam",23,"Per"
11313,14872,699," ",65,"And"
11465,15138,709," ",66,"And"
12692,16727,785," ",11,"Per"
13268,17506,834,"eta",15,"Per"
9505,12303,590,"g",4,"Per"
11060,14489,685,"i",9,"Per"
11279,14818,696," ",10,"Per"
10729,13994,662,"chi",7,"Per"
10718,13982,661," ",8,"Per"
14382,18970,918,"k",,"Per"
22783,30614,1542,"alf",9,"Cam"
17959,23401,1148,"gam",,"Cam"
10227,13267,627," ",5,"Per"
7294,9408,442,"chi",39,"Cas"
8046,10425,491," ",44,"Cas"
6686,8538,403,"del",37,"Cas"
8886,11415,542,"eps",45,"Cas"
11569,15089,707,"iot",,"Cas"
9573,12301,589," ",53,"Cas"
9564,12279,586," ",52,"Cas"
7965,10221,478," ",43,"Cas"
10438,13474,640," ",55,"Cas"
9009,11529,548,"ome",46,"Cas"
10031,12800,," ",54,"Cas"
9480,12111,575,"A",48,"Cas"
6312,8003,384," ",35,"Cas"
5589,6972,345," ",32,"Cas"
2707,3038,137," ",16,"Cas"
2474,2729,121," ",13,"Cas"
6692,8491,399,"psi",36,"Cas"
7078,9021,427," ",38,"Cas"
5518,6829,336," ",31,"Cas"
8016,10250,480," ",42,"Cas"
7650,9774,456," ",40,"Cas"
3721,4382,208," ",23,"Cas"
3572,4161,192,"YZ",21,"Cas"
13367,17463,829,"SU",,"Cas"
13133,17138,815,"RZ",,"Cas"
9598,12216,580," ",50,"Cas"
9763,12339,592," ",49,"Cas"
9727,12230,581," ",47,"Cas"
4843,5679,,"ups",,"Cep"
5372,5848,285," ",2,"UMi"
11767,8890,424,"alf",1,"UMi"
44659,77996,3613,"ome",18,"Hya"
43234,75137,3492,"rho",13,"Hya"
42931,74591,3469," ",10,"Hya"
43109,74874,3482,"eps",11,"Hya"
43813,76294,3547,"zet",16,"Hya"
46457,81873,3755," ",3,"Leo"
47508,83808,3852,"omi",14,"Leo"
46454,81858,3754,"ome",2,"Leo"
46774,82381,3779,"h",6,"Leo"
46771,82395,3782,"ksi",5,"Leo"
44798,78316,3623,"kap",76,"Cnc"
42313,73262,3410,"del",4,"Hya"
42353,73316,3412," ",37,"Cnc"
42917,74521,3465,"b",49,"Cnc"
42265,73143,3406,"c",36,"Cnc"
41904,72359,3372," ",34,"Cnc"
41163,70734,3290," ",21,"Cnc"
43121,74873,3481,"A02",50,"Cnc"
42795,74228,3450,"A01",45,"Cnc"
43851,76351,3550," ",60,"Cnc"
44066,76756,3572,"alf",65,"Cnc"
45410,79554,3669,"pi.",82,"Cnc"
44838,78347,," ",74,"Cnc"
45170,79096,3650," ",81,"Cnc"
43454,75528,3510," ",54,"Cnc"
43463,75558,," ",52,"Cnc"
43970,76543,3561,"omi01",62,"Cnc"
44001,76582,3565,"omi02",63,"Cnc"
43811,76221,3541,"X",,"Cnc"
48029,84722,3880," ",19,"Leo"
47959,84561,3877," ",18,"Leo"
48324,85268,3896," ",23,"Leo"
47723,84194,3866,"psi",16,"Leo"
47266,83343,," ",11,"Leo"
47096,83023,3818," ",7,"Leo"
47189,83189,3826," ",8,"Leo"
49583,87737,3975,"eta",30,"Leo"
50564,89449,4054," ",40,"Leo"
50583,89484,4057,"gam01",41,"Leo"
45699,80218,," ",83,"Cnc"
45153,79009,," ",80,"Cnc"
48218,85040,3889," ",20,"Leo"
47908,84441,3873,"eps",17,"Leo"
48390,85376,3900,"g",22,"Leo"
48455,85503,3905,"mu.",24,"Leo"
46750,82308,3773,"lam",4,"Leo"
47247,83273,," ",9,"Leo"
47550,83821,3853," ",13,"Leo"
41400,71250,3319," ",27,"Cnc"
41578,71555,3333," ",29,"Cnc"
39567,66664,3163," ",8,"Cnc"
39874,67483,3184," ",12,"Cnc"
39236,65873,3134," ",5,"Cnc"
41319,71030,3299,"d02",25,"Cnc"
40167,68256,3209,"zet02",16,"Cnc"
40167,68257,3208,"zet01",16,"Cnc"
41822,72094,3357,"the",31,"Cnc"
42911,74442,3461,"del",47,"Cnc"
42556,73731,3429,"eps",41,"Cnc"
42578,73785,," ",42,"Cnc"
42485,73575,," ",38,"Cnc"
42523,73666,," ",40,"Cnc"
42516,73665,3427," ",39,"Cnc"
41117,70569,3284,"d01",20,"Cnc"
42133,72779,3387," ",35,"Cnc"
41909,72292,3366,"eta",33,"Cnc"
42806,74198,3449,"gam",43,"Cnc"
38848,64960,3095," ",1,"Cnc"
39177,65759,3128," ",3,"Cnc"
38722,64648,3086," ",85,"Gem"
37300,61338,2938,"f",74,"Gem"
37908,62721,3003,"g",81,"Gem"
37811,62510,2991," ",79,"Gem"
38106,63208,3021," ",82,"Gem"
39780,67228,3176,"mu.",10,"Cnc"
41940,72324,3369,"ups02",32,"Cnc"
41816,72041,3355,"ups01",30,"Cnc"
41574,71496,3329," ",28,"Cnc"
41389,71152,3312," ",24,"Cnc"
40881,70011,3268,"lam",19,"Cnc"
41404,71150,3310,"phi02",23,"Cnc"
39659,66875,3169," ",9,"Cnc"
40023,67767,3191,"psi",14,"Cnc"
39263,65856,3132," ",4,"Cnc"
39191,65714,3124,"ome",2,"Cnc"
40007,67690,,"psi01",13,"Cnc"
40843,69897,3262,"chi",18,"Cnc"
45033,78715,3640," ",79,"Cnc"
44946,78515,3627,"ksi",77,"Cnc"
44405,77350,3595,"nu.",69,"Cnc"
44892,78418,3626," ",75,"Cnc"
44512,77557,3601," ",70,"Cnc"
43834,76219,3540,"rho02",58,"Cnc"
44342,77190,3589," ",67,"Cnc"
46146,81146,3731,"kap",1,"Leo"
47701,84107,3861,"f",15,"Leo"
44818,78235,3621,"tau",72,"Cnc"
45058,78712,3639,"RS",,"Cnc"
45860,80493,3705,"alf",40,"Lyn"
43575,75716,3521," ",53,"Cnc"
43587,75732,3522,"rho01",55,"Cnc"
43103,74739,3475,"iot",48,"Cnc"
43100,74738,3474,"iot",48,"Cnc"
44031,76572,3563," ",61,"Cnc"
43721,75959,3532," ",57,"Cnc"
42954,74485,3464," ",46,"Cnc"
41377,71093,3304,"phi01",22,"Cnc"
44307,77104,3587," ",66,"Cnc"
44154,76813,3575,"sig03",64,"Cnc"
43932,76398,3555,"sig02",59,"Cnc"
43584,75698,3519,"sig01",51,"Cnc"
52457,92825,4192," ",41,"LMi"
52422,92769,4189," ",40,"LMi"
50384,89125,4039," ",39,"Leo"
50335,89025,4031,"zet",36,"Leo"
50319,89010,4030," ",35,"Leo"
53355,94480,4254," ",48,"LMi"
52959,93765,4230," ",44,"LMi"
52882,93636,4223," ",43,"LMi"
52638,93152,4203," ",42,"LMi"
52098,92125,4166," ",37,"LMi"
53426,94600,4258," ",46,"UMa"
53377,94497,4256," ",47,"LMi"
53229,94264,4247," ",46,"LMi"
50316,88986,4027," ",24,"LMi"
50303,88960,4024," ",23,"LMi"
